Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Price(euro),Age,km_year
Volvo,XC90,2015,SUV,145000.0,1969.0,Diesel,17500.0,7,20714.285714285717
Toyota,Prius,2017,Hatchback,176930.0,1800.0,Hybrid,8000.0,5,35386.0
BMW,3 Series,2007,Sedan,298153.0,2000.0,Diesel,6600.0,15,19876.866666666665
KIA,Rare,2014,Hatchback,54000.0,1400.0,Diesel,7100.0,8,6750.0
Volkswagen,Golf,2010,Universal,142000.0,1200.0,Petrol,6400.0,12,11833.333333333334
KIA,Ceed,2013,Hatchback,125000.0,1560.0,Diesel,8200.0,9,13888.888888888889
Toyota,Auris,2009,Hatchback,280000.0,2231.0,Diesel,3200.0,13,21538.46153846154
Toyota,Avensis,2000,Universal,299000.0,1999.0,Diesel,2990.0,22,13590.90909090909
BMW,5 Series,2020,Sedan,45000.0,1998.0,Petrol,39900.0,2,22500.0
Renault,Clio,2008,Universal,234000.0,1200.0,Petrol,3600.0,14,16714.285714285714
Hyundai,Rare,2017,Sedan,61000.0,1600.0,Petrol,10999.0,5,12200.0
Ford,Kuga,2017,Crossover,119000.0,1500.0,Diesel,13990.0,5,23800.0
Audi,A6,2001,Sedan,260000.0,1900.0,Diesel,5200.0,21,12380.952380952382
Audi,A6,2006,Universal,280000.0,2700.0,Diesel,10500.0,16,17500.0
Citroen,C3,2010,Hatchback,197000.0,1100.0,Petrol,2800.0,12,16416.666666666668
Volkswagen,Jetta,1986,Sedan,128365.0,1600.0,Diesel,13000.0,36,3565.6944444444443
Mercedes,S Class,1981,Sedan,100000.0,2800.0,Petrol,3600.0,41,2439.0243902439024
BMW,7 Series,1999,Sedan,376000.0,2800.0,Metan/Propan,6200.0,23,16347.826086956522
Toyota,Avensis,2004,Universal,169000.0,1800.0,Petrol,3300.0,18,9388.888888888889
Mitsubishi,Outlander,2019,Crossover,7252.0,2000.0,Plug-in Hybrid,24999.0,3,2417.333333333333
Dacia,Logan Mcv,2014,Universal,114025.0,1000.0,Petrol,4800.0,8,14253.125
BMW,5 Series,2000,Sedan,333400.0,2000.0,Petrol,3299.0,22,15154.545454545454
Opel,Vectra,1998,Universal,247000.0,1799.0,Metan/Propan,2500.0,24,10291.666666666666
Volkswagen,Touareg,2006,Crossover,168000.0,2495.0,Diesel,10000.0,16,10500.0
Rare,Rare,1990,Sedan,111111.0,1000.0,Petrol,250.0,32,3472.21875
Skoda,Octavia,2009,Universal,220000.0,1800.0,Petrol,5999.0,13,16923.076923076922
Toyota,Corolla,2003,Universal,156000.0,1600.0,Petrol,2350.0,19,8210.526315789473
Ford,Rare,1995,Sedan,215000.0,1998.0,Petrol,1800.0,27,7962.962962962963
Audi,Rare,2011,Universal,132500.0,1400.0,Petrol,4550.0,11,12045.454545454546
Daewoo,Rare,2008,Universal,213456.0,1600.0,Petrol,600.0,14,15246.857142857143
Seat,Rare,2009,Microvan,128000.0,1600.0,Petrol,4500.0,13,9846.153846153846
Seat,Rare,2001,Sedan,266806.0,1400.0,Petrol,2499.0,21,12705.047619047618
Volkswagen,Passat,2006,Universal,222500.0,1986.0,Diesel,5900.0,16,13906.25
Nissan,Qashqai,2015,Crossover,96000.0,1200.0,Petrol,10950.0,7,13714.285714285714
Volvo,XC60,2015,Crossover,153501.0,2400.0,Diesel,20000.0,7,21928.714285714286
Ford,Fusion,2010,Minivan,188800.0,1440.0,Petrol,4600.0,12,15733.333333333334
Mitsubishi,Outlander,2008,Crossover,267848.0,3200.0,Diesel,13499.0,14,19132.0
Honda,CR-V,2020,SUV,6700.0,1993.0,Hybrid,33490.0,2,3350.0
Toyota,Auris,2008,Hatchback,171700.0,1400.0,Diesel,5300.0,14,12264.285714285714
Toyota,Yaris,2006,Hatchback,260000.0,1100.0,Petrol,3000.0,16,16250.0
Nissan,Primera,2001,Universal,156000.0,1800.0,Petrol,1200.0,21,7428.571428571428
Renault,Talisman,2016,Universal,171200.0,1500.0,Diesel,13000.0,6,28533.33333333333
Mazda,6,2008,Sedan,125000.0,2488.0,Petrol,6999.0,14,8928.57142857143
Opel,Zafira,2002,Minivan,254213.0,2000.0,Diesel,3499.0,20,12710.65
Renault,Scenic,2012,Universal,174144.0,1500.0,Diesel,6199.0,10,17414.4
Audi,A4,2014,Universal,170000.0,2000.0,Diesel,14500.0,8,21250.0
Skoda,Fabia,2008,Universal,199980.0,1422.0,Diesel,4800.0,14,14284.285714285714
Renault,Laguna,2011,Sedan,195000.0,1500.0,Diesel,5300.0,11,17727.272727272728
Skoda,Rapid,2012,Sedan,165849.0,1200.0,Petrol,7350.0,10,16584.9
Opel,Combo,2006,Combi,230000.0,1300.0,Diesel,2900.0,16,14375.0
Renault,Kadjar,2016,Crossover,143440.0,1461.0,Diesel,12399.0,6,23906.666666666668
BMW,X6,2011,SUV,145348.0,3000.0,Petrol,26000.0,11,13213.454545454546
Dacia,Logan,2015,Sedan,157400.0,1500.0,Diesel,6490.0,7,22485.714285714286
Fiat,Rare,2014,Hatchback,97800.0,1400.0,Petrol,7990.0,8,12225.0
Smart,Rare,2008,Coupe,145000.0,999.0,Petrol,3500.0,14,10357.142857142857
Skoda,Octavia,2016,Universal,108000.0,1598.0,Diesel,11750.0,6,18000.0
KIA,Ceed,2008,Hatchback,134600.0,1591.0,Petrol,4402.0,14,9614.285714285714
Volkswagen,Golf,2015,Hatchback,136212.0,1200.0,Petrol,8199.0,7,19458.85714285714
Toyota,Auris,2013,Universal,171000.0,1390.0,Diesel,8000.0,9,19000.0
Nissan,Rare,2016,Hatchback,65000.0,1500.0,Diesel,4200.0,6,10833.333333333334
BMW,5 Series,2004,Sedan,218569.0,3000.0,Diesel,13300.0,18,12142.722222222224
Hyundai,Rare,2018,Sedan,114000.0,2199.0,Diesel,24599.0,4,28500.0
Renault,Kadjar,2018,Crossover,155000.0,1500.0,Diesel,13899.0,4,38750.0
Audi,100,1987,Universal,243000.0,2300.0,Metan/Propan,1100.0,35,6942.857142857143
Volvo,XC60,2014,SUV,56000.0,2400.0,Diesel,11500.0,8,7000.0
Nissan,Primera,2001,Hatchback,235000.0,1800.0,Petrol,1400.0,21,11190.47619047619
Volkswagen,Golf,2007,Hatchback,229970.0,1900.0,Diesel,5199.0,15,15331.333333333334
KIA,Rare,2002,Minivan,187000.0,1800.0,Metan/Propan,3200.0,20,9350.0
Skoda,Fabia,2006,Universal,287876.0,1422.0,Diesel,4199.0,16,17992.25
Skoda,Fabia,2005,Sedan,225000.0,1200.0,Metan/Propan,2800.0,17,13235.29411764706
Toyota,Auris,2010,Hatchback,173000.0,1800.0,Hybrid,8900.0,12,14416.666666666666
Opel,Astra,2001,Universal,278000.0,1600.0,Petrol,3200.0,21,13238.09523809524
Renault,Scenic,2013,Microvan,170000.0,1500.0,Diesel,6790.0,9,18888.88888888889
Nissan,Rare,1982,SUV,213200.0,2800.0,Petrol,3200.0,40,5330.0
Toyota,Avensis,2011,Universal,306000.0,2200.0,Diesel,6000.0,11,27818.18181818182
BMW,5 Series,2001,Sedan,225000.0,2500.0,Metan/Propan,5890.0,21,10714.285714285714
Ford,Fusion,2019,Sedan,12000.0,1500.0,Petrol,13500.0,3,4000.0
Lexus,RX Series,2001,Crossover,380000.0,3000.0,Petrol,5300.0,21,18095.23809523809
Peugeot,206,2003,Hatchback,211429.0,1400.0,Diesel,2300.0,19,11127.842105263158
Vaz,2121niva,2006,Crossover,253300.0,1690.0,Metan/Propan,4999.0,16,15831.25
Volkswagen,Passat,2012,Sedan,190000.0,2000.0,Diesel,12600.0,10,19000.0
BMW,5 Series,2000,Sedan,2508.0,2500.0,Diesel,950.0,22,114.0
Mercedes,E Class,2021,Sedan,17000.0,2000.0,Petrol,43000.0,1,17000.0
Volkswagen,Passat,2013,Universal,152328.0,1400.0,Petrol,7850.0,9,16925.333333333332
Opel,Astra,2003,Cabriolet,160000.0,1800.0,Petrol,3500.0,19,8421.052631578947
Citroen,Rare,2000,Minivan,250000.0,2000.0,Diesel,1850.0,22,11363.636363636364
Hyundai,Rare,2012,Universal,140000.0,1685.0,Diesel,11000.0,10,14000.0
BMW,X3,2008,Crossover,201947.0,200.0,Diesel,10000.0,14,14424.785714285714
Skoda,Octavia,2010,Sedan,293554.0,1390.0,Petrol,5699.0,12,24462.83333333333
Renault,Megane,2010,Coupe,158000.0,1500.0,Diesel,4900.0,12,13166.666666666666
Dacia,Lodgy,2013,Minivan,150000.0,1469.0,Diesel,6500.0,9,16666.666666666668
Honda,CR-V,2007,Crossover,220000.0,2204.0,Diesel,4200.0,15,14666.666666666666
Honda,CR-V,2008,SUV,245191.0,2200.0,Diesel,9999.0,14,17513.64285714286
BMW,X5,2005,SUV,260500.0,3000.0,Petrol,8999.0,17,15323.529411764706
BMW,Rare,2008,Hatchback,118000.0,2000.0,Petrol,7300.0,14,8428.57142857143
Mercedes,B Class,2005,Hatchback,19999.0,1700.0,Petrol,5299.0,17,1176.4117647058824
Honda,CR-V,2012,SUV,112000.0,2000.0,Metan/Propan,11500.0,10,11200.0
BMW,X5,2002,Sedan,232000.0,3000.0,Metan/Propan,9500.0,20,11600.0
KIA,Rare,2005,Hatchback,130000.0,1090.0,Petrol,2500.0,17,7647.058823529412
Volkswagen,Passat,1995,Sedan,444444.0,1900.0,Diesel,2500.0,27,16460.88888888889
Skoda,Superb,2018,Sedan,124000.0,2000.0,Diesel,25500.0,4,31000.0
Audi,A4,1997,Sedan,270000.0,1780.0,Metan/Propan,2850.0,25,10800.0
KIA,Rio,2005,Hatchback,262725.0,1500.0,Diesel,4299.0,17,15454.411764705885
BMW,3 Series,2015,Sedan,142000.0,1998.0,Plug-in Hybrid,18350.0,7,20285.714285714286
Lexus,RX Series,2009,SUV,190000.0,350.0,Hybrid,16550.0,13,14615.384615384615
Chrysler,Rare,1997,Minivan,350000.0,3300.0,Metan/Propan,1500.0,25,14000.0
Skoda,Superb,2013,Sedan,122129.0,1800.0,Petrol,11199.0,9,13569.888888888889
Renault,Rare,2015,Universal,164642.0,1500.0,Diesel,7999.0,7,23520.285714285717
Nissan,Qashqai+2,2011,Crossover,185000.0,1500.0,Diesel,7500.0,11,16818.18181818182
Ford,Rare,2005,Pickup,290000.0,600.0,Diesel,14000.0,17,17058.823529411766
Mercedes,E Class,2008,Sedan,222222.0,3000.0,Diesel,3700.0,14,15873.0
Skoda,Superb,2016,Sedan,159000.0,2000.0,Diesel,19000.0,6,26500.0
BMW,3 Series,2003,Sedan,250000.0,1800.0,Petrol,4900.0,19,13157.894736842103
BMW,5 Series,2006,Combi,298084.0,2500.0,Diesel,4449.0,16,18630.25
Toyota,Land Cruiser Prado,2007,SUV,186000.0,2700.0,Metan/Propan,15500.0,15,12400.0
Mercedes,C Class,2017,Sedan,99324.0,1600.0,Diesel,19500.0,5,19864.8
Volkswagen,Vento,1995,Hatchback,200000.0,1800.0,Petrol,1500.0,27,7407.407407407408
Mercedes,Rare,2004,Microvan,185546.0,2200.0,Diesel,2500.0,18,10308.111111111111
Honda,Rare,1999,Coupe,145000.0,2200.0,Petrol,3999.0,23,6304.347826086957
Seat,Rare,2005,Hatchback,167736.0,1595.0,Petrol,3799.0,17,9866.823529411764
Ford,Rare,2005,Minivan,250000.0,1900.0,Diesel,4500.0,17,14705.882352941177
GAZ,Rare,1998,Sedan,200000.0,2400.0,Petrol,1500.0,24,8333.333333333334
Toyota,Corolla,2014,Sedan,170000.0,1400.0,Diesel,10000.0,8,21250.0
Ford,Fiesta,1985,Hatchback,123456.0,1100.0,Petrol,400.0,37,3336.6486486486488
Nissan,Primera,1996,Sedan,30000.0,1600.0,Metan/Propan,1500.0,26,1153.8461538461538
Dacia,Sandero,2011,Hatchback,125300.0,1200.0,Petrol,4399.0,11,11390.90909090909
Opel,Astra,2002,Cabriolet,160000.0,2200.0,Petrol,3800.0,20,8000.0
Mercedes,Vito,2012,Minivan,197000.0,2200.0,Diesel,10490.0,10,19700.0
Ford,Rare,2006,Minivan,218400.0,2000.0,Diesel,7000.0,16,13650.0
Renault,Megane,2011,Universal,213951.0,1500.0,Diesel,7099.0,11,19450.090909090908
Hyundai,Sonata,2018,Sedan,125493.0,1999.0,Hybrid,17365.0,4,31373.25
Rare,Rare,2011,Crossover,73000.0,1500.0,Petrol,1999.0,11,6636.363636363636
Toyota,Auris,2013,Universal,195000.0,1364.0,Diesel,8500.0,9,21666.666666666668
Mercedes,E Class,1995,Sedan,300000.0,2000.0,Metan/Propan,3599.0,27,11111.111111111111
Renault,Scenic,2007,Minivan,165000.0,1500.0,Diesel,2400.0,15,11000.0
Seat,Rare,2014,Sedan,97680.0,1400.0,Petrol,8399.0,8,12210.0
Renault,Talisman,2016,Sedan,205000.0,1600.0,Diesel,12700.0,6,34166.666666666664
Mercedes,S Class,2006,Sedan,235000.0,3500.0,Metan/Propan,9200.0,16,14687.5
Mercedes,C Class,2000,Sedan,245000.0,1998.0,Petrol,3000.0,22,11136.363636363636
Dacia,Sandero,2006,Hatchback,15000.0,1500.0,Petrol,2199.0,16,937.5
Renault,Laguna,2008,Universal,300000.0,1500.0,Diesel,5000.0,14,21428.571428571428
Mazda,3,2016,Sedan,127700.0,2000.0,Petrol,8550.0,6,21283.33333333333
Opel,Combo,2008,Combi,220000.0,1300.0,Diesel,3300.0,14,15714.285714285714
Volkswagen,Tiguan,2013,Crossover,147086.0,1390.0,Petrol,12300.0,9,16342.888888888889
Dacia,Logan,2008,Universal,350000.0,1500.0,Diesel,3700.0,14,25000.0
Vaz,Rare,1993,Hatchback,30000.0,1300.0,Petrol,1000.0,29,1034.4827586206898
Opel,Zafira,2005,Minivan,233000.0,1600.0,Metan/Propan,3950.0,17,13705.882352941177
Renault,Kadjar,2015,Crossover,150000.0,1500.0,Diesel,12999.0,7,21428.571428571428
Mercedes,Vito,2011,Minivan,279000.0,2143.0,Diesel,7789.0,11,25363.636363636364
Volkswagen,Touran,2012,Minivan,155005.0,1390.0,Petrol,8700.0,10,15500.5
Toyota,Rare,2004,Minivan,268000.0,2000.0,Diesel,8700.0,18,14888.888888888889
Volkswagen,Golf,2014,Hatchback,98993.0,1599.0,Diesel,10100.0,8,12374.125
Mitsubishi,Lancer,1992,Sedan,32000.0,1468.0,Petrol,600.0,30,1066.6666666666667
Dacia,Logan Mcv,2011,Universal,165000.0,1500.0,Diesel,5850.0,11,15000.0
Dacia,Logan Mcv,2014,Universal,49000.0,1200.0,Petrol,6200.0,8,6125.0
Opel,Astra,2009,Universal,123000.0,1300.0,Diesel,4250.0,13,9461.53846153846
Renault,Megane,2016,Hatchback,207000.0,1500.0,Diesel,9700.0,6,34500.0
GAZ,Rare,1989,Sedan,100000.0,2400.0,Petrol,850.0,33,3030.3030303030305
Volkswagen,Golf,1994,Hatchback,275882.0,1400.0,Metan/Propan,1300.0,28,9852.92857142857
Nissan,Rare,2004,Minivan,206000.0,2200.0,Diesel,4650.0,18,11444.444444444443
Toyota,Corolla,2004,Sedan,135000.0,1400.0,Petrol,2900.0,18,7500.0
Volkswagen,Passat,2006,Sedan,278088.0,200.0,Petrol,5500.0,16,17380.5
Mercedes,M Class,2012,Universal,177924.0,350.0,Diesel,21700.0,10,17792.4
Nissan,Primera,2004,Universal,280380.0,2200.0,Diesel,3999.0,18,15576.666666666666
Audi,80,1992,Sedan,250000.0,2000.0,Petrol,1500.0,30,8333.333333333334
Mercedes,C Class,2005,Sedan,206000.0,2200.0,Diesel,3000.0,17,12117.64705882353
Toyota,Auris,2014,Hatchback,115000.0,1800.0,Hybrid,9800.0,8,14375.0
Hyundai,Sonata,2013,Sedan,145000.0,2000.0,Petrol,6400.0,9,16111.111111111111
Honda,Rare,2010,Sedan,203000.0,1300.0,Hybrid,5800.0,12,16916.666666666668
Mazda,3,2005,Hatchback,160000.0,1600.0,Petrol,4200.0,17,9411.764705882351
Nissan,Qashqai,2017,Crossover,23000.0,1500.0,Diesel,9900.0,5,4600.0
Mercedes,Series (W124),1994,Coupe,210000.0,3200.0,Petrol,5800.0,28,7500.0
BMW,Rare,2015,Minivan,152000.0,1500.0,Diesel,11500.0,7,21714.285714285717
Renault,Megane,2014,Universal,210000.0,1500.0,Diesel,7199.0,8,26250.0
Renault,Kadjar,2016,Crossover,171000.0,1500.0,Diesel,12999.0,6,28500.0
Jaguar,Rare,2005,Sedan,20000.0,2000.0,Diesel,900.0,17,1176.470588235294
Nissan,Rare,2001,Sedan,260000.0,1926.0,Petrol,3100.0,21,12380.952380952382
Audi,Q5,2009,Crossover,188000.0,2000.0,Petrol,11000.0,13,14461.53846153846
BMW,7 Series,1989,Sedan,298000.0,3500.0,Petrol,7650.0,33,9030.30303030303
Vaz,2121niva,2001,Coupe,2121.0,1600.0,Petrol,2121.0,21,101.0
BMW,5 Series,2017,Sedan,110000.0,2000.0,Diesel,27900.0,5,22000.0
Opel,Astra,2011,Universal,256124.0,1248.0,Diesel,7999.0,11,23284.0
Mazda,Rare,2008,Crossover,165388.0,2261.0,Metan/Propan,7250.0,14,11813.42857142857
Renault,Scenic,2012,Minivan,190000.0,1461.0,Diesel,7200.0,10,19000.0
Volvo,Rare,2009,Sedan,170000.0,1600.0,Petrol,6500.0,13,13076.923076923076
Vaz,2106,1984,Sedan,41916.0,1600.0,Petrol,16000.0,38,1103.0526315789473
Skoda,Superb,2015,Hatchback,104000.0,2000.0,Diesel,21900.0,7,14857.142857142857
Volkswagen,Vento,1993,Sedan,250000.0,1600.0,Petrol,1400.0,29,8620.689655172413
Hyundai,Getz,2004,Hatchback,230000.0,1200.0,Petrol,2700.0,18,12777.777777777776
Audi,Q5,2018,Crossover,58326.0,2000.0,Petrol,29800.0,4,14581.5
KIA,Rare,2005,Minivan,195000.0,2500.0,Metan/Propan,4350.0,17,11470.588235294115
Dacia,Duster,2016,Crossover,142000.0,1500.0,Diesel,9200.0,6,23666.666666666668
Mercedes,S Class,2007,Sedan,234000.0,3200.0,Diesel,12000.0,15,15600.0
Ford,Fusion,2014,Sedan,93000.0,2000.0,Plug-in Hybrid,11700.0,8,11625.0
Volkswagen,Polo,2005,Sedan,152000.0,1400.0,Petrol,3500.0,17,8941.176470588236
Opel,Astra,2006,Hatchback,300000.0,1300.0,Diesel,3550.0,16,18750.0
Nissan,Rare,2011,Hatchback,195000.0,1500.0,Diesel,5250.0,11,17727.272727272728
Toyota,Prius,2011,Hatchback,195000.0,1800.0,Hybrid,7750.0,11,17727.272727272728
Toyota,Rare,2019,Pickup,11353.0,2400.0,Diesel,37500.0,3,3784.3333333333335
Mercedes,E Class,2017,Sedan,187000.0,2000.0,Diesel,27900.0,5,37400.0
Volkswagen,Sharan,2003,Minivan,210000.0,1900.0,Diesel,2000.0,19,11052.631578947368
Volkswagen,Polo,2008,Hatchback,90000.0,1400.0,Diesel,3200.0,14,6428.571428571428
Skoda,Superb,2018,Universal,40000.0,1400.0,Petrol,19200.0,4,10000.0
Citroen,Rare,2017,Minivan,162000.0,1600.0,Diesel,11999.0,5,32400.0
Chrysler,Rare,2005,Minivan,128000.0,3300.0,Metan/Propan,9000.0,17,7529.411764705882
Honda,CR-V,2001,Crossover,130000.0,2000.0,Petrol,4600.0,21,6190.476190476191
Lexus,NX Series,2015,Crossover,148460.0,2494.0,Hybrid,22999.0,7,21208.571428571428
Nissan,Qashqai,2014,SUV,98800.0,1500.0,Diesel,12690.0,8,12350.0
Nissan,Qashqai,2008,Crossover,196816.0,1500.0,Diesel,7699.0,14,14058.285714285714
Volkswagen,Touran,2004,Microvan,290000.0,1900.0,Diesel,2000.0,18,16111.111111111111
Hyundai,Santa FE,2006,SUV,190000.0,2200.0,Diesel,8499.0,16,11875.0
Skoda,Superb,2017,Sedan,151000.0,1598.0,Diesel,16990.0,5,30200.0
Nissan,Qashqai,2008,SUV,177600.0,1500.0,Diesel,7590.0,14,12685.714285714286
Nissan,Micra,2011,Hatchback,155000.0,1200.0,Petrol,6900.0,11,14090.90909090909
Audi,A6,2000,Universal,250000.0,2500.0,Diesel,3790.0,22,11363.636363636364
Skoda,Superb,2011,Sedan,106500.0,1400.0,Petrol,8799.0,11,9681.818181818182
BMW,Rare,2015,Hatchback,11111.0,1500.0,Petrol,8999.0,7,1587.2857142857142
Mitsubishi,Rare,1996,Coupe,200000.0,1300.0,Petrol,1900.0,26,7692.307692307692
Volkswagen,Rare,2000,Coupe,225431.0,1200.0,Diesel,2200.0,22,10246.863636363636
Toyota,Auris,2014,Universal,130000.0,1400.0,Diesel,9000.0,8,16250.0
Ford,Transit Connect,2002,Universal,200000.0,200.0,Diesel,4600.0,20,10000.0
Lexus,Es Series,2013,Sedan,180000.0,2500.0,Hybrid,16850.0,9,20000.0
Fiat,Rare,2004,Minivan,312000.0,1900.0,Petrol,1800.0,18,17333.333333333332
Lexus,Rare,2007,Sedan,220000.0,4600.0,Petrol,13000.0,15,14666.666666666666
Mercedes,B Class,2019,Universal,42000.0,1460.0,Diesel,24600.0,3,14000.0
Toyota,Prius,2005,Hatchback,23000.0,1500.0,Petrol,5300.0,17,1352.9411764705883
Renault,Scenic,2007,Hatchback,158000.0,1500.0,Diesel,2300.0,15,10533.333333333334
KIA,Optima,2012,Sedan,97230.0,2000.0,Petrol,13199.0,10,9723.0
Toyota,Rav 4,2017,Crossover,168000.0,2500.0,Hybrid,19499.0,5,33600.0
Toyota,Land Cruiser Prado,2014,SUV,72500.0,3956.0,Petrol,36900.0,8,9062.5
Fiat,Rare,2012,Microvan,170000.0,1300.0,Diesel,5299.0,10,17000.0
Honda,Rare,2009,Hatchback,171000.0,1300.0,Hybrid,5000.0,13,13153.846153846154
BMW,5 Series,2002,Sedan,340000.0,200.0,Diesel,2000.0,20,17000.0
Audi,A4,1996,Sedan,340000.0,1600.0,Petrol,2200.0,26,13076.923076923076
Land Rover,Freelander,2009,SUV,150000.0,2200.0,Diesel,5500.0,13,11538.46153846154
Toyota,Rare,2013,Hatchback,80000.0,1000.0,Petrol,4200.0,9,8888.888888888889
Mercedes,GLE,2016,SUV,126000.0,2500.0,Diesel,29999.0,6,21000.0
Audi,A8,2006,Sedan,230000.0,4200.0,Petrol,6300.0,16,14375.0
Jeep,Rare,2002,Sedan,3000.0,2700.0,Diesel,4600.0,20,150.0
Opel,Astra,2009,Hatchback,226000.0,1300.0,Diesel,4700.0,13,17384.615384615383
Audi,Q7,2010,Crossover,127000.0,3000.0,Diesel,25500.0,12,10583.333333333334
Hyundai,Rare,2013,Universal,240000.0,1400.0,Diesel,6400.0,9,26666.666666666668
Mercedes,Series (W124),1987,Sedan,457352.0,2000.0,Metan/Propan,2500.0,35,13067.2
Nissan,Qashqai,2015,Hatchback,156000.0,1500.0,Diesel,11600.0,7,22285.714285714286
Skoda,Octavia,2006,Universal,385000.0,1600.0,Metan/Propan,3800.0,16,24062.5
Mitsubishi,Outlander,2007,Crossover,150000.0,2400.0,Metan/Propan,7500.0,15,10000.0
Dacia,Duster,2012,Crossover,170350.0,1500.0,Diesel,6600.0,10,17035.0
Mercedes,M Class,2008,SUV,260000.0,3000.0,Diesel,18000.0,14,18571.42857142857
Opel,Astra,2006,Universal,260000.0,1300.0,Diesel,3200.0,16,16250.0
Mercedes,Vito,2012,Microvan,237000.0,2200.0,Diesel,10490.0,10,23700.0
Mercedes,B Class,2010,Hatchback,20000.0,1700.0,Metan/Propan,7199.0,12,1666.6666666666667
Toyota,Corolla,2005,Hatchback,167000.0,1400.0,Diesel,4800.0,17,9823.529411764706
Vaz,2121niva,1995,Minivan,33333.0,1600.0,Petrol,750.0,27,1234.5555555555557
Mercedes,Rare,2019,SUV,10000.0,2000.0,Diesel,45000.0,3,3333.333333333333
Dacia,Sandero,2009,Hatchback,224000.0,1200.0,Petrol,3400.0,13,17230.76923076923
Renault,Clio,2012,Universal,190000.0,1500.0,Diesel,4950.0,10,19000.0
Hyundai,Rare,2020,Sedan,4000.0,1998.0,Petrol,41299.0,2,2000.0
Skoda,Rapid,2015,Sedan,210000.0,1400.0,Diesel,7800.0,7,30000.0
Honda,Civic,2010,Sedan,172000.0,1400.0,Hybrid,6700.0,12,14333.333333333334
Honda,Civic,1992,Sedan,393500.0,1593.0,Petrol,3500.0,30,13116.666666666666
Mazda,6,2003,Sedan,108171.0,3000.0,Metan/Propan,4700.0,19,5693.210526315789
Volkswagen,Touran,2014,Minivan,114000.0,1400.0,Metan/Propan,10450.0,8,14250.0
Renault,Megane,2008,Universal,118000.0,1500.0,Diesel,2950.0,14,8428.57142857143
Toyota,Corolla,2007,Hatchback,168000.0,1599.0,Metan/Propan,4600.0,15,11200.0
Chevrolet,Rare,2008,Hatchback,132000.0,1600.0,Petrol,3500.0,14,9428.57142857143
Honda,CR-V,2019,Crossover,20000.0,2398.0,Petrol,21700.0,3,6666.666666666667
Honda,Accord,2016,Sedan,176000.0,2400.0,Petrol,11650.0,6,29333.33333333333
Renault,Scenic,2005,Minivan,20000.0,1500.0,Diesel,3300.0,17,1176.470588235294
Toyota,Prius,2008,Hatchback,190000.0,1500.0,Petrol,6850.0,14,13571.42857142857
Jaguar,Rare,2012,Sedan,120000.0,2200.0,Diesel,15999.0,10,12000.0
KIA,Rio,2012,Hatchback,168523.0,1200.0,Diesel,5850.0,10,16852.3
Skoda,Superb,2017,Hatchback,92000.0,2000.0,Diesel,20900.0,5,18400.0
Opel,Insignia,2016,Universal,155000.0,1600.0,Diesel,13400.0,6,25833.33333333333
Ford,Fusion,2019,Sedan,31000.0,1998.0,Plug-in Hybrid,18499.0,3,10333.333333333334
BMW,5 Series,2013,Sedan,116000.0,2000.0,Petrol,15800.0,9,12888.888888888889
Opel,Astra,2003,Hatchback,213000.0,1600.0,Metan/Propan,2950.0,19,11210.526315789471
BMW,X3,2013,Crossover,150000.0,2000.0,Diesel,19500.0,9,16666.666666666668
Opel,Vectra,2003,Sedan,168000.0,2200.0,Diesel,6399.0,19,8842.105263157895
Opel,Astra,2006,Crossover,200000.0,1400.0,Petrol,4500.0,16,12500.0
Opel,Rare,2004,Minivan,230000.0,2500.0,Diesel,6800.0,18,12777.777777777776
Volkswagen,Polo,2011,Hatchback,168000.0,1200.0,Petrol,5300.0,11,15272.727272727272
Volvo,XC60,2009,SUV,215001.0,2400.0,Diesel,13990.0,13,16538.53846153846
Subaru,Rare,2008,Sedan,222333.0,2000.0,Metan/Propan,5555.0,14,15880.92857142857
Mini,Rare,2020,Coupe,3000.0,1998.0,Petrol,17000.0,2,1500.0
Opel,Corsa,2004,Hatchback,230000.0,998.0,Petrol,2500.0,18,12777.777777777776
Mercedes,E Class,2005,Sedan,410130.0,3000.0,Diesel,10199.0,17,24125.29411764706
Renault,Kadjar,2017,SUV,138700.0,1500.0,Diesel,13850.0,5,27740.0
Nissan,Qashqai,2018,Crossover,135200.0,1500.0,Diesel,15999.0,4,33800.0
Volkswagen,Passat,2011,Sedan,256000.0,1968.0,Diesel,12600.0,11,23272.727272727272
Toyota,Avensis,2013,Universal,184000.0,2000.0,Diesel,12300.0,9,20444.444444444445
BMW,5 Series,2008,Sedan,220000.0,2000.0,Diesel,7500.0,14,15714.285714285714
Audi,A6,2002,Universal,310000.0,2500.0,Diesel,5199.0,20,15500.0
Renault,Scenic,2015,Hatchback,201000.0,1500.0,Diesel,8799.0,7,28714.285714285717
Chevrolet,Rare,2013,Minivan,183000.0,1800.0,Petrol,7499.0,9,20333.33333333333
Skoda,Fabia,2012,Universal,170000.0,1200.0,Petrol,4999.0,10,17000.0
Skoda,Superb,2018,Sedan,125100.0,2000.0,Diesel,19999.0,4,31275.0
Opel,Zafira,2005,Microvan,250000.0,200.0,Diesel,3000.0,17,14705.882352941177
Skoda,Superb,2016,Sedan,250001.0,1600.0,Diesel,14299.0,6,41666.833333333336
Renault,Megane,2017,Minivan,185000.0,1500.0,Diesel,11300.0,5,37000.0
