Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Price(euro),Age,km_year
Toyota,Rav 4,2015,Crossover,204000.0,2000.0,Diesel,15000.0,7,29142.85714285714
Skoda,Superb,2018,Sedan,50000.0,2000.0,Petrol,25300.0,4,12500.0
Chrysler,Rare,2007,Sedan,252827.0,1996.0,Diesel,4499.0,15,16855.133333333335
Opel,Astra,2012,Hatchback,170000.0,1300.0,Diesel,6300.0,10,17000.0
Toyota,Prius,2008,Hatchback,260569.0,1500.0,Petrol,5999.0,14,18612.071428571428
BMW,5 Series,2004,Sedan,330000.0,2993.0,Diesel,8800.0,18,18333.33333333333
Audi,A4,2013,Sedan,186068.0,2000.0,Petrol,14999.0,9,20674.222222222223
Mercedes,E Class,2008,Sedan,288000.0,3000.0,Diesel,11800.0,14,20571.42857142857
Nissan,Qashqai,2017,Crossover,44000.0,1500.0,Diesel,16990.0,5,8800.0
Mercedes,S Class,2013,Sedan,105000.0,2690.0,Diesel,39999.0,9,11666.666666666666
Audi,Q5,2012,Crossover,133101.0,2000.0,Hybrid,18499.0,10,13310.1
Toyota,Auris,2012,Hatchback,148670.0,1400.0,Diesel,7500.0,10,14867.0
Hyundai,Santa FE,2016,Crossover,174571.0,2000.0,Petrol,16999.0,6,29095.166666666668
Hyundai,Santa FE,2017,Crossover,22843.0,2000.0,Petrol,20999.0,5,4568.6
Volkswagen,Passat,2002,Sedan,380000.0,1899.0,Diesel,4500.0,20,19000.0
Toyota,Auris,2009,Microvan,170000.0,1800.0,Petrol,6200.0,13,13076.923076923076
Mazda,Rare,2016,Hatchback,134000.0,1500.0,Diesel,13700.0,6,22333.33333333333
Volkswagen,Golf,1997,Sedan,280000.0,1600.0,Petrol,1300.0,25,11200.0
Audi,A5,2013,Sedan,188000.0,2000.0,Diesel,18900.0,9,20888.88888888889
Toyota,Rare,2014,Universal,183000.0,1800.0,Hybrid,9300.0,8,22875.0
Opel,Astra,2004,Universal,23451.0,1800.0,Petrol,2950.0,18,1302.8333333333333
Dacia,Logan Mcv,2012,Minivan,90000.0,1600.0,Metan/Propan,3499.0,10,9000.0
Mercedes,B Class,2019,Hatchback,6291.0,1300.0,Petrol,24299.0,3,2097.0
Renault,Rare,2016,Microvan,160064.0,1598.0,Diesel,15799.0,6,26677.33333333333
Mitsubishi,Outlander,2004,SUV,223352.0,2000.0,Petrol,4600.0,18,12408.444444444443
BMW,3 Series,2013,Sedan,172123.0,2000.0,Petrol,12199.0,9,19124.777777777777
Renault,Rare,2016,Universal,129300.0,1461.0,Diesel,6888.0,6,21550.0
Opel,Zafira,2000,Microvan,362542.0,1800.0,Metan/Propan,2600.0,22,16479.18181818182
Fiat,Rare,2008,Microvan,173000.0,1400.0,Petrol,4350.0,14,12357.142857142857
Subaru,Rare,2007,Universal,255000.0,2400.0,Metan/Propan,6999.0,15,17000.0
Audi,A4,2013,Sedan,164000.0,1955.0,Petrol,13500.0,9,18222.222222222223
Mercedes,E Class,2000,Sedan,25000.0,2200.0,Diesel,4700.0,22,1136.3636363636365
Audi,Q7,2011,Crossover,170000.0,3000.0,Petrol,18222.0,11,15454.545454545454
KIA,Rare,2000,Minivan,170000.0,2499.0,Petrol,3500.0,22,7727.272727272727
Toyota,Rare,2011,Hatchback,156000.0,1400.0,Diesel,4200.0,11,14181.818181818182
Audi,A6,2003,Sedan,272000.0,2500.0,Diesel,5200.0,19,14315.78947368421
Volkswagen,Golf,2007,Hatchback,174000.0,1400.0,Petrol,5099.0,15,11600.0
Volkswagen,Jetta,2012,Sedan,135008.0,1400.0,Hybrid,8599.0,10,13500.8
Audi,A4,2013,Sedan,130000.0,1984.0,Petrol,10299.0,9,14444.444444444443
Renault,Grand Scenic,2009,Minivan,200000.0,1412.0,Petrol,5150.0,13,15384.615384615385
Mercedes,M Class,2000,Crossover,400000.0,2300.0,Metan/Propan,4999.0,22,18181.81818181818
Renault,Clio,2007,Hatchback,231000.0,1500.0,Diesel,3200.0,15,15400.0
Volkswagen,Golf,2012,Hatchback,150000.0,1400.0,Petrol,7500.0,10,15000.0
Porsche,Cayenne,2016,SUV,200000.0,4200.0,Diesel,67000.0,6,33333.333333333336
Renault,Grand Scenic,2013,Universal,197410.0,1600.0,Diesel,8499.0,9,21934.444444444445
Volkswagen,Passat,2008,Sedan,163000.0,1900.0,Diesel,5499.0,14,11642.857142857143
Nissan,X-Trail,2015,Crossover,167300.0,1600.0,Diesel,15750.0,7,23900.0
Lexus,RX Series,2012,Universal,128147.0,3456.0,Hybrid,28900.0,10,12814.7
Skoda,Fabia,2012,Hatchback,290000.0,1200.0,Petrol,4100.0,10,29000.0
Lexus,RX Series,2019,SUV,30000.0,2000.0,Petrol,45000.0,3,10000.0
Volkswagen,Passat,1993,Universal,280000.0,200.0,Petrol,1700.0,29,9655.172413793103
Rare,Rare,1985,SUV,6000.0,2400.0,Petrol,5800.0,37,162.16216216216216
Volkswagen,Passat,2009,Universal,172000.0,1400.0,Petrol,6800.0,13,13230.76923076923
Honda,Rare,2009,Universal,172000.0,1300.0,Petrol,6400.0,13,13230.76923076923
Renault,Megane,2013,Universal,182000.0,1500.0,Diesel,6200.0,9,20222.222222222223
BMW,X5,2015,SUV,120000.0,2000.0,Diesel,33900.0,7,17142.85714285714
